Rank,Site,Manufacturer,Computer,Country,Year,Total Cores,Rmax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Processor Speed (MHz),Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
80,IBM Thomas J. Watson Research Center,IBM,eServer Blue Gene Solution,United States,2005,40960,91290,114688,983039,0,448,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Information Processing Service,Proprietary,Proprietary,North America,Americas
81,Naval Oceanographic Office - NAVO MSRC,Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,12733,90840,117143,0,0,588.9,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
82,University of Alaska - Arctic Region Supercomputing Center,Cray Inc.,Cray XE6 8-core 2.3 GHz,United States,2010,11648,88920,107162,0,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2300,8,Cray XE,Cray XE6,Linux,MPP,Academic,Not Specified,Custom,Custom,North America,Americas
83,Manufacturing Company,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband",France,2009,8576,88550,100511,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Aerospace,Infiniband,Infinband DDR 4x,Western Europe,Europe
84,Cyfronet,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L56xx 2.26 Ghz, Infiniband",Poland,2010,9840,88050.7,104698,0,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
85,Bull,Bull SA,Bull bullx super-node S6010/S6030,France,2010,11520,87470,104602,1643136,0,0,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull Bullx,bullx super-node S6010/S6030,Linux,Cluster,Vendor,Benchmarking,Infiniband,Infiniband QDR,Western Europe,Europe
86,Commissariat a l'Energie Atomique (CEA),Bull SA,"Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband",France,2010,11520,87470,104417,1643136,0,0,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull Bullx,bullx super-node S6010,Linux,Cluster,Research,Research,Infiniband,Infiniband QDR,Western Europe,Europe
87,iVEC,Hewlett-Packard,"HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR",Australia,2010,9600,87198.7,107520,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,Australia and New Zealand,Oceania
88,"GSIC Center, Tokyo Institute of Technology",NEC/Sun,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband",Japan,2009,31024,87010,163188,1059839,0,1103,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,2,Sun Fire - Cluster,Fire x4600 Cluster,SuSE Linux Enterprise Server 9,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
89,"University of Cologne, Regional Computing Centre",Bull SA,"Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband",Germany,2010,9376,85900,100171,1446480,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Bull Bullx,Bullx Blade/Supernode,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,Western Europe,Europe
90,Clemson University,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/iDataPlex/IBM dx340  Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, E5410 2.33GHz Myrinet 10G",United States,2010,11408,85040,104594,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
91,Lawrence Livermore National Laboratory,Appro International,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR",United States,2009,13440,83080,107500,1370880,685440,700,AMD x86_64,AMD x86_64 Opteron Quad Core,2000,4,Appro XtremeServer,Appro Xtreme-X3,Linux,Cluster,Research,Research,Infiniband,Infiniband DDR,North America,Americas
92,"Stony Brook/BNL, New York Center for Computational Sciences",IBM,eServer Blue Gene Solution,United States,2007,36864,82161,103219,0,0,403.2,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
93,Maui High-Performance Computing Center (MHPCC),Dell,"Dell PowerEdge M610 Cluster, Nehalem-EP 2.8Ghz, Infiniband",United States,2009,9210,80580,103219,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
94,Naval Oceanographic Office - NAVO MSRC,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2009,5440,78680,102272,0,0,869.42,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
95,CINECA,IBM,"Power 575, p6 4.7 GHz, Infiniband",Italy,2009,5376,78680,101069,907199,0,859.19,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,Infiniband,Infiniband,Southern Europe,Europe
96,"Center for Computational Sciences, University of Tsukuba",Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Japan,2009,10368,77280,95385,1562400,0,671.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Appro XtremeServer,Appro XtremeServers,Redhat Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
97,CLUMEQ - Université Laval,Oracle,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Canada,2009,7616,77170,85299,1160376,0,332,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
98,US Army Research Laboratory (ARL),Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,10400,76800,95680,0,0,481,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
99,CSC (Center for Scientific Computing),Cray Inc.,Cray XT5/XT4 QC 2.3 GHz,Finland,2009,10864,76510,101997,0,0,520.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
100,DOE/NNSA/LLNL,IBM,eServer pSeries p5 575 1.9 GHz,United States,2006,12208,75760,92781,1383600,0,1992.96,Power,POWER5,1900,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Research,SP Switch,Federation,North America,Americas
101,KTH - Royal Institute of Technology,Cray Inc.,Cray XT6m 12-Core 2.1 GHz,Sweden,2010,11016,75120,92534.4,1306392,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6m,Linux,MPP,Academic,Research,Custom,Custom,Northern Europe,Europe
102,National Institute for Environmental Studies,NSSOL / SGI Japan,"Asterism ID318, Intel Xeon E5530, NVIDIA C2050, Infiniband",Japan,2010,144640,74840,177120,661000,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,SGI Cluster,Asterism Cluster,Linux,Cluster,Research,Environment,Infiniband,Infiniband,Eastern Asia,Asia
103,University of Minnesota/Supercomputing Institute,Hewlett-Packard,"Cluster Platform 3000 BL280c G6, Xeon X55xx 2.8Ghz, Infiniband",United States,2009,8448,74390,94617.6,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL280c G6,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
104,National Centers for Environment Prediction,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2009,4992,73060,93849.6,0,0,797,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
105,National Centers for Environment Prediction,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2008,4992,73060,93849.6,0,0,797.82,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
106,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,eServer Blue Gene Solution,United States,2007,32768,73032,91750,884735,0,358.4,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
107,Lawrence Livermore National Laboratory,Dell,"Dell DCS Xanadu 2.5, Xeon E55xx 2.4Ghz, Infiniband DDR",United States,2010,8464,72410,81254,1670352,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,Dell Xanadu,Dell DCS Xanadu 2.5,Linux,Cluster,Research,Energy,Infiniband,Infiniband DDR,North America,Americas
108,US Army Research Laboratory (ARL),SGI,"SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz",United States,2009,6656,70000,74547.2,1501752,0,350.1,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
109,NCSA,Dell,"PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",United States,2007,9600,68480,89587.2,1008384,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,Dell PowerEdge Cluster,PowerEdge 1955,Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband SDR,North America,Americas
110,Texas Tech University,Dell,"Poweredge Cluster, Xeon X5660 2.8Ghz, Infiniband DDR",United States,2010,7524,68270,84538,1270976,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge R410 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
111,UCSD/San Diego Supercomputer Center,Appro International,"Appro 1U-1143H Cluster, Opteron 8C 2.4Ghz, Infiniband QDR",United States,2010,10112,67320,99532.8,1200000,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Appro Cluster,Appro Opteron Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,North America,Americas
112,University of Southampton,IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2",United Kingdom,2009,8000,66680,72320,1610000,0,222.62,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
113,NASA/Ames Research Center/NAS,SGI,"SGI Altix 1.5/1.6/1.66 GHz, Voltaire Infiniband",United States,2008,13824,66567,82944,1478736,0,0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,SGI Altix,SGI Altix 3700,SuSE Linux Enterprise Server 9,MPP,Research,Not Specified,Mixed,Numalink/Infiniband,North America,Americas
114,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,10864,66371.5,127326,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
115,IBM Thomas J. Watson Research Center,IBM,NNSA/SC Blue Gene/Q Prototype,United States,2010,8192,65347,104858,434175,0,38.8,Power,Power BQC,1600,16,IBM BlueGene,BlueGene/Q,Linux,MPP,Research,Not Specified,Custom,Custom,North America,Americas
116,NACAD/COPPE/UFRJ,Oracle,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Brazil,2009,6464,64630,72396.8,1405152,0,430,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,Cluster,Academic,Research,Infiniband,Infiniband,South America,Americas
117,Georgia Institute of Technology,Hewlett-Packard,"HP ProLiant SL390s G7 Xeon 6C X5660 2.8Ghz, nVidia Fermi, Infiniband QDR",United States,2010,6048,63920,188092,524288,0,94.4,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,Cluster,Research,Research,Infiniband,Infiniband QDR,North America,Americas
118,Barcelona Supercomputing Center,IBM,"BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",Spain,2006,10240,63830,94208,0,0,0,Power,PowerPC 970,2300,2,IBM Cluster,BladeCenter JS21 CLuster,SuSE Linux Enterprise Server 9,Cluster,Academic,Medicine,Myrinet,Myrinet,Southern Europe,Europe
119,Saudi Aramco,Hewlett-Packard,"Cluster Platform 3000 BL280c G6, Xeon X5670 2.93Ghz, Infiniband QDR",Saudi Arabia,2010,6144,63420,72007,1130112,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL280c G6,Linux,Cluster,Industry,Energy,Infiniband,Infiniband QDR,Western Asia,Asia
120,IBM Poughkeepsie Benchmarking Center,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband",United States,2008,7200,63250,80928,0,0,138,Power,PowerXCell 8i,3200,9,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Vendor,Software,Infiniband,Infiniband,North America,Americas
121,Saudi Aramco,ClusterVision/Dell,"Dell PowerEdge M610 Cluster, Xeon X5670 2.93Ghz, Infiniband QDR",Saudi Arabia,2010,6144,63150,72007,1048704,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,Cluster,Industry,Energy,Infiniband,Infiniband QDR,Western Asia,Asia
122,Banking (M),IBM,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband",United States,2010,6808,62729.5,72600.5,0,0,298.7,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas
123,KTH - Royal Institute of Technology,Dell,"PowerEdge SC1435 Dual core Opteron 2.2 GHz, Infiniband",Sweden,2010,9800,61760,86024.4,1450624,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,2,Dell PowerEdge Cluster,PowerEdge SC1435,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
124,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,10056,61625.7,117856,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
125,Cray Inc.,Cray Inc.,Cray XE6 12-core 2.1 GHz,United States,2010,8640,60330,72576,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,MPP,Vendor,Benchmarking,Custom,Custom,North America,Americas
126,Purdue University,Hewlett-Packard,"HP Cluster Platform 4000 DL165 G7 Cluster, Opteron 12-core 2.1 Ghz, 10G",United States,2010,8856,60256.2,74390.4,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,HP Cluster Platform 4000,HP Cluster Platform 4000 DL165 G7 Cluster,Linux,Cluster,Academic,Research,Gigabit Ethernet,10G Ethernet,North America,Americas
127,NCAR (National Center for Atmospheric Research),IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2008,4064,59684.1,76403.2,0,0,649.51,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,North America,Americas
128,Computacenter (UK) LTD,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",United Kingdom,2010,11280,58705.6,112800,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
129,Banking (M),IBM,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband",United States,2010,6048,56790.8,64350.7,0,0,141.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas
130,Universitaet Erlangen,NEC,"NEC LX-2400 Cluster, Xeon X5550 2.66 Ghz, Infiniband",Germany,2010,5880,56730,62563,0,0,160,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,NEC Cluster,NEC LX-2400,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
131,National Institute for Fusion Science (NIFS),Hitachi,"Hitachi SR16000 Model L2/128, Power6 4.7Ghz, Infiniband",Japan,2009,4096,56650,77004.8,1100000,0,645,Power,POWER6,4700,2,Hitachi SR16000,Hitachi SR16000 Model L2,AIX,MPP,Research,Research,Infiniband,Infiniband,Eastern Asia,Asia
132,Leibniz Rechenzentrum,SGI,Altix 4700 1.6 GHz,Germany,2007,9728,56520,62259.2,1583232,0,990.24,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,SGI Altix,SGI Altix 4700,SUSE Linux Enterprise Server 10,MPP,Academic,Not Specified,NUMAlink,NUMAlink,Western Europe,Europe
133,ERDC MSRC,Cray Inc.,Cray XT4 QuadCore 2.1 GHz,United States,2008,8464,56250,71097,0,0,418.97,AMD x86_64,AMD x86_64 Opteron Quad Core,2100,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
134,Service Provider,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE",Japan,2010,11640,55944.8,105552,0,0,510.71,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
135,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,9072,55804.7,106324,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
136,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,9072,55804.7,106324,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
137,Indian Institute of Tropical Meteorology,IBM,"Power 575, p6 4.7 GHz, Infiniband",India,2010,3744,55110,70387.2,0,0,598.37,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Research,Infiniband,Infiniband,South-central Asia,Asia
138,"University of Tokyo/Human Genome Center, IMS",Oracle,"SunBlade x6250, Xeon E5450 3GHz, Infiniband",Japan,2009,5760,54210,69120,786712,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,Sun Blade System,Sun Blade x6250,Linux,Cluster,Academic,Medicine,Infiniband,Infiniband DDR,Eastern Asia,Asia
139,Cray Inc.,Cray Inc.,Cray XT6 12-Core 2.0/2.1/2.2 GHz,United States,2010,8352,53180,69427.2,1102464,0,155.7,AMD x86_64,AMD x86_64 Opteron 12 Core,2000,12,Cray XT,Cray XT6,Linux,MPP,Vendor,Benchmarking,Custom,Custom,North America,Americas
140,Georgia Institute of Technology,Penguin Computing,"Altus 704 Cluster, 6C Opteron 8431 2.4 Ghz, Infiniband",United States,2010,8640,53050,82944,1152000,0,246,AMD x86_64,AMD x86_64 Opteron Six Core,2400,6,Penguin Computing Cluster,Altus 704 Cluster,Linux,Cluster,Research,Biology,Infiniband,Infinband DDR 4x,North America,Americas
141,NNSA/Sandia National Laboratories,Dell,"PowerEdge 1850, 3.6 GHz, Infiniband",United States,2006,9024,53000,64972.8,0,0,0,Intel EM64T,Intel EM64T Xeon EM64T,3600,1,Dell PowerEdge Cluster,PowerEdge 1850,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
142,Commissariat a l'Energie Atomique (CEA),Bull SA,"NovaScale 5160, Itanium2 1.6 GHz, Quadrics",France,2006,9968,52840,63795.2,0,0,0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,Bull SMP Cluster,NovaScale 5160,Linux,Constellations,Research,Defense,Quadrics,Quadrics,Western Europe,Europe
143,IDRIS,IBM,"Power 575, p6 4.7 GHz, Infiniband",France,2008,3584,52810,67379.2,0,0,572.79,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
144,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,8556,52734.1,100276,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
145,CSIRO,Xenon Systems,"Supermicro Xeon Cluster, E5462 2.8 Ghz, Nvidia Tesla s2050 GPU, Infiniband",Australia,2010,4608,52550,143300,670000,335000,94.6,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,4,NOW - Intel,Supermicro Cluster,Linux,Cluster,Government,Research,Infiniband,Infiniband,Australia and New Zealand,Oceania
146,Hewlett-Packard,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5560 2.8 GHz, Infiniband",United States,2010,5632,52526.3,63078.4,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2800,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Vendor,Benchmarking,Infiniband,Infiniband QDR,North America,Americas
147,Purdue University,Hewlett-Packard,"Cluster Platform 3000 DL165, Opteron 2.5 GHz, 10GigE",United States,2010,7944,52192.1,79440,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,HP Cluster Platform 3000,HP DL165 Cluster,Linux,Cluster,Academic,Research,Gigabit Ethernet,10G Ethernet,North America,Americas
148,ETH Zuerich,Oracle,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR",Switzerland,2009,6464,51880,64640,1032192,0,152,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,Sun Blade System,Sun Blade x6440,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
149,United Kingdom Meteorological Office,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2009,3520,51863.3,66176,0,0,562.6,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather Forecasting,Infiniband,Infiniband,Northern Europe,Europe
150,United Kingdom Meteorological Office,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2009,3520,51863.3,66176,0,0,562.6,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather Forecasting,Infiniband,Infiniband,Northern Europe,Europe
151,Wright-Patterson Air Force Base/DoD ASC,SGI,Altix 4700 1.6 GHz,United States,2007,9216,51441,58982,1260000,0,0,Intel IA-64,Intel IA-64 Itanium 2 Dual Core,1600,2,SGI Altix,SGI Altix 4700,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,NUMAlink,NUMAlink,North America,Americas
152,Banking (M),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, Infiniband",United States,2010,5568,51304.1,59377.2,0,0,182.7,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas
153,Meteorological Research Institute (MRI),Hitachi,"Hitachi SR16000 Model L2/121, Power6 4.7Ghz, Infiniband",Japan,2009,3872,51210,72793.6,844800,0,0,Power,POWER6,4700,2,Hitachi SR16000,Hitachi SR16000 Model L2,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Eastern Asia,Asia
154,Engineering Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,8960,51203.3,90675.2,0,0,393.12,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
155,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2010,8096,51180.5,97152,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
156,SARA (Stichting Academisch Rekencentrum),IBM,"Power 575, p6 4.7 GHz, Infiniband",Netherlands,2009,3456,50923.9,64972.8,0,0,552,Power,POWER6,4700,2,IBM pSeries,pSeries 575,Linux,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
157,HWW/Universitaet Stuttgart,NEC,"NEC HPC 140Rb-1 Cluster, Xeon X5560 2.8Ghz, Infiniband",Germany,2009,5376,50790,60211.2,958880,0,186,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,NEC Cluster,HPC 140Rb-1 Cluster,Windows HPC 2008,Cluster,Industry,Research,Infiniband,Infiniband,Western Europe,Europe
158,Kyoto University,Fujitsu,"Fujitsu Cluster HX600, Opteron Quad Core, 2.3 GHz, Infiniband",Japan,2008,6656,50510,61235,1223040,215000,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Fujitsu Cluster,Fujitsu Cluster,Redhat Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Eastern Asia,Asia
